p_inter,trial,kmeans,umap_euclidean,umap_complexity
0.01,0,0.533122329482513,0.7654889400460414,1.0
0.01,1,0.5045061523112737,0.7935289517133505,1.0
0.01,2,0.48304548771588424,0.678155696158283,1.0
0.01,3,0.4584146169363207,0.8470606246172688,0.4724689165186501
0.01,4,0.5219497871090882,0.8506787330316742,1.0
0.01,5,0.5607338410220908,0.8179716120405065,1.0
0.01,6,0.5879790249637553,0.7842451461616422,1.0
0.01,7,0.5530085247748681,0.923887687849497,1.0
0.01,8,0.45840344305681213,0.4724689165186501,1.0
0.01,9,0.4991568296795953,0.8690238397883213,0.7755102040816326
0.01,10,0.7012296117458803,0.8844582765998833,0.7755102040816326
0.01,11,0.6012604245640637,0.6747735261009733,0.7755102040816326
0.01,12,0.4748752909876954,0.9193243187248795,1.0
0.01,13,0.5185259463524693,0.882927136469551,1.0
0.01,14,0.5045240501960011,0.8683220359477357,0.7755102040816326
0.01,15,0.5738107804974599,0.9746088740702744,1.0
0.01,16,0.5126506377732865,0.6800618238021638,0.4724689165186501
0.01,17,0.5340389228220283,0.4387710256102921,0.7755102040816326
0.01,18,0.5531746359173233,0.852447593054991,1.0
0.01,19,0.47713448974994366,0.8618211361789888,0.7755102040816326
0.05,0,0.07064155149170863,0.44408621217738947,0.8871432420668642
0.05,1,0.36883539951135647,0.4120567282495622,0.763184399742607
0.05,2,0.1239451476793249,0.7466088104895765,0.7755102040816326
0.05,3,0.4589651990820696,0.5553259819884564,0.4613441289763927
0.05,4,0.1183987926438908,0.2287915109237778,0.8689519187016532
0.05,5,0.4362510139370253,0.2675032726944432,0.8757807463276327
0.05,6,0.07550942638568484,0.4724689165186501,0.7349073290779051
0.05,7,0.37043561172297323,0.7403065825067628,0.854567124464709
0.05,8,0.36586903853174474,0.19800634345265067,0.906982760968436
0.05,9,0.3691016169444825,0.4980268490524734,0.2037533512064343
0.05,10,0.3333254015466984,0.5932774131476946,0.4724689165186501
0.05,11,0.07823472852743936,0.31406371202061506,0.7387319754918662
0.05,12,0.10716542398584608,0.46681799973294164,0.9312481276723222
0.05,13,0.3469531525184924,0.4407206656996717,0.8251428571428572
0.05,14,0.34600788749162886,0.5427792508496098,0.4724689165186501
0.05,15,0.10058505493808564,0.5818548007331686,0.882841858308477
0.05,16,0.3043921525405048,0.2037533512064343,1.0
0.05,17,0.10072660443265216,0.2037533512064343,0.7755102040816326
0.05,18,0.32481957555596136,0.2010847995766636,0.32661603589605365
0.05,19,0.07910127555435698,0.2037533512064343,0.9354493940188349
0.1,0,0.12905605021942315,0.19474881995954146,0.55525485196976
0.1,1,0.08369436786136274,0.2418864713747417,0.6349603149803137
0.1,2,0.08291547277936963,0.5043762558321697,0.6542539185387419
0.1,3,0.1132560508318378,0.22497751699125743,0.5651717517713843
0.1,4,0.11445242553749452,0.12228676245796392,0.6942814631818309
0.1,5,0.0957864476386037,0.19800634345265067,0.2037533512064343
0.1,6,0.23877609379468115,0.38850312966426165,0.5088151777077418
0.1,7,0.16161616161616163,0.36810146240455544,0.6151230061179602
0.1,8,0.10942638599775827,0.15008611282752454,0.5285198160718195
0.1,9,0.12285977591308143,0.4244293645897594,0.5955808928992901
0.1,10,0.13218865089238424,0.21837779086092116,0.5570751619848424
0.1,11,0.10319023237495077,0.28659390625951514,0.6527320274585733
0.1,12,0.08932692307692308,0.12005613676958407,0.5098440782459066
0.1,13,0.3053147753727277,0.2010847995766636,0.8405219004316627
0.1,14,0.10875941725594246,0.05233718229694809,0.5510327483612076
0.1,15,0.0844448755881069,0.2055435210712879,0.656830292507975
0.1,16,0.12918471839306814,0.01762440758293839,0.19892110586648684
0.1,17,0.11357910494991663,0.29599140517085015,0.7072214104437438
0.1,18,0.10942638599775827,0.18324483816153417,0.25234807668937104
0.1,19,0.13017228685024296,0.34405187921310554,0.5787063576096413
0.2,0,0.1771006160164271,0.22926289766443303,0.46103843341187944
0.2,1,0.16587957497048406,0.09427524327056742,0.5028529381390066
0.2,2,0.1730504135486412,0.2764304634209231,0.4559769033639342
0.2,3,0.20630245913709322,0.1474542982323614,0.408380819007147
0.2,4,0.2004754455762622,0.18492153373240575,0.4691348522167488
0.2,5,0.19882892369974883,0.4199575904896304,0.2047966916233995
0.2,6,0.15332503972310838,0.30549491835029374,0.26160664420703694
0.2,7,0.18096493280943993,0.15228012042106964,0.5954266036966097
0.2,8,0.2911908195205772,0.34594964891248503,0.509865903020624
0.2,9,0.21688983163197667,0.4171090550583953,0.29991184286466294
0.2,10,0.19011088295687886,0.3782819577504309,0.4022276502198339
0.2,11,0.2731160238825238,0.050557324840764334,0.4845889265113291
0.2,12,0.18909431312894923,0.00697027230877266,0.4642642401892011
0.2,13,0.16512354779736982,0.01762440758293839,0.4082058295580819
0.2,14,0.17771318068163622,0.021528044742618335,0.2528422893790691
0.2,15,0.16707499490625016,0.08348185185324737,0.4759493670886076
0.2,16,0.21023070195967333,0.038387933066226725,0.09424816556720765
0.2,17,0.2197979797979798,0.3838133945926842,0.3849935177182368
0.2,18,0.2004754455762622,0.1793845242962065,0.4116507112127437
0.2,19,0.20229421031902323,0.01219234946911075,0.473595166163142
0.3,0,0.2143493990995704,0.2329095838218054,0.36621160992209595
0.3,1,0.2160212045354145,0.127124794682761,0.41626137433322874
0.3,2,0.23803662859393462,0.1891903987588203,0.23175956163170422
0.3,3,0.2638846120684346,0.31930745216708484,0.4110971632592555
0.3,4,0.2783375469680269,0.13607238605898123,0.13607238605898123
0.3,5,0.2649199178644764,0.26242548551500855,0.08936816705889362
0.3,6,0.21101277960293632,0.43742317809618253,0.20589854562694032
0.3,7,0.2183022922636103,0.038387933066226725,0.15381544324471463
0.3,8,0.23452667292224103,0.2572592969943963,0.500018844457845
0.3,9,0.2001253020674841,0.3116294568477174,0.2593873446294983
0.3,10,0.22641354809894734,0.26657686891569216,0.2600307874204707
0.3,11,0.2516566043292593,0.08697645979822684,0.3542869177762128
0.3,12,0.22735974083345603,0.127124794682761,0.0917370080170636
0.3,13,0.2531229353287341,0.29627223692407634,0.16615509942830542
0.3,14,0.2785323171555499,0.22746922626025792,0.3009268821646184
0.3,15,0.2521489971346705,0.22952081243386607,0.3551513649514307
0.3,16,0.22716723549488055,0.06021843081620068,0.3751696701674496
0.3,17,0.23478731784166995,0.08816403488098044,0.0907384332085097
0.3,18,0.20543566244563652,0.3496205942840933,0.29821273375467805
0.3,19,0.18334825709010516,0.2679230791953446,0.25886234932148217
